ordem,municipio_chave,tipo_entidade,url_amaweb,url_accessmonitor,correspondencia,status_amaweb,nota_amaweb,avaliacao_amaweb,tem_cloudflare_amaweb,status_accessmonitor,nota_accessmonitor,avaliacao_accessmonitor,tem_cloudflare_accessmonitor,diferenca_nota_amaweb_menos_accessmonitor,faixa_amaweb,faixa_accessmonitor,titulo_amaweb,titulo_accessmonitor,accessmonitor_run
"69","","Outro/Consórcio","https://www.confresa.org/","https://www.confresa.org/","URL exata","Concluída","8.2","Sim","Não","Avaliado","4.1","Sim","Não","4.10","8-<9","<5","","","17-04-38"
"70","confresa","Câmara Municipal","https://www.confresa.mt.leg.br/","https://www.confresa.mt.leg.br/","URL exata","Sem resultado AMAWeb","","Não","Não","Avaliado","","Não","Não","","<5","<5","","","17-04-38"
"71","conquistadoeste","Prefeitura/Órgão Municipal","https://www.conquistadoeste.mt.gov.br/","https://www.conquistadoeste.mt.gov.br/","URL exata","Concluída","9.2","Sim","Não","Avaliado","","Não","Não","","9-10","<5","Prefeitura Municipal de Conquista D'Oeste - MT","","17-04-38"
"72","conquistadoeste","Câmara Municipal","https://www.conquistadoeste.mt.leg.br","https://www.conquistadoeste.mt.leg.br","URL exata","Concluída","8.1","Sim","Não","Avaliado","6.9","Sim","Não","1.20","8-<9","6-<7","Página Inicial — Câmara Municipal","Página Inicial — Câmara Municipal","17-04-38"
"73","cotriguacu","Prefeitura/Órgão Municipal","https://www.cotriguacu.mt.gov.br/","https://www.cotriguacu.mt.gov.br/","URL exata","Concluída","","Não","Sim","Avaliado","","Não","Sim","","9-10","8-<9","Access denied | www.cotriguacu.mt.gov.br used Cloudflare to restrict access | www.cotriguacu.mt.gov.br | Cloudflare","Access denied | www.cotriguacu.mt.gov.br used Cloudflare to restrict access | www.cotriguacu.mt.gov.br | Cloudflare","17-04-38"
"74","cotriguacu","Câmara Municipal","https://www.cotriguacu.mt.leg.br/","https://www.cotriguacu.mt.leg.br/","URL exata","Concluída","8.4","Sim","Não","Avaliado","7.2","Sim","Não","1.20","8-<9","7-<8","Página Inicial — Câmara Municipal de Cotriguaçu","Página Inicial — Câmara Municipal de Cotriguaçu","17-04-38"
"75","","Outro/Consórcio","https://www.consorciovaledoriocuiaba.com.br","https://www.consorciovaledoriocuiaba.com.br","URL exata","Concluída","7","Sim","Não","Avaliado","5.8","Sim","Não","1.20","7-<8","5-<6","Consórcio Vale do Rio Cuiabá – Consórcio Intermunicipal de Desenvolvimento Econômico e Social Vale do Rio Cuiabá","Consórcio Vale do Rio Cuiabá – Consórcio Intermunicipal de Desenvolvimento Econômico e Social Vale do Rio Cuiabá","17-04-38"
"76","","Outro/Consórcio","https://www.cisvarc.com.br/","https://www.cisvarc.com.br/","URL exata","Sem resultado AMAWeb","","Não","Não","Avaliado","","Não","Não","","<5","<5","","","17-04-38"
"77","","Outro/Consórcio","https://www.consprev.com.br/","https://www.consprev.com.br/","URL exata","Concluída","8.2","Sim","Não","Avaliado","","Não","Não","","8-<9","<5","Página Inicial - Consórcio de CONSPREV","","17-04-38"
"78","","Outro/Consórcio","https://www.defensoria.mt.def.br/dpmt/portal/","https://www.defensoria.mt.def.br/dpmt/portal/","URL exata","Concluída","7","Sim","Não","Avaliado","","Não","Não","","7-<8","<5","DPEMT - Home","","17-04-38"
"79","metamat","Prefeitura/Órgão Municipal","https://www.metamat.mt.gov.br/","https://www.metamat.mt.gov.br/","URL exata","Concluída","10","Sim","Não","Avaliado","","Não","Não","","9-10","<5","METAMAT","","17-04-38"
"80","mti","Prefeitura/Órgão Municipal","https://www.mti.mt.gov.br/","https://www.mti.mt.gov.br/","URL exata","Concluída","10","Sim","Não","Avaliado","","Não","Não","","9-10","<5","MTI","","17-04-38"
"81","mtpar","Prefeitura/Órgão Municipal","https://www.mtpar.mt.gov.br/","https://www.mtpar.mt.gov.br/","URL exata","Concluída","8.2","Sim","Não","Avaliado","7","Sim","Não","1.20","8-<9","7-<8","MTPAR | MT Participações e Projetos S.A | Avenida Dr. Hélio Ribeiro, Nº 525, Edifício Helbor Dual Business - 5º Andar. Cuiabá - Mato Grosso","MTPAR | MT Participações e Projetos S.A | Avenida Dr. Hélio Ribeiro, Nº 525, Edifício Helbor Dual Business - 5º Andar. Cuiabá - Mato Grosso","17-04-38"
"82","desenvolve","Prefeitura/Órgão Municipal","https://www.desenvolve.mt.gov.br/","https://www.desenvolve.mt.gov.br/","URL exata","Concluída","6.9","Sim","Não","Avaliado","5.8","Sim","Não","1.10","6-<7","5-<6","Desenvolve MT | Desenvolve MT","Desenvolve MT | Desenvolve MT","17-04-38"
"83","","Outro/Consórcio","https://mtgas.com.br/","https://mtgas.com.br/","URL exata","Concluída","7.4","Sim","Não","Avaliado","6.8","Sim","Não","0.60","7-<8","6-<7","MTGÁS Companhia Mato-grossense de Gás – R. Eng. Endereço: Rua Edgar Prado Arze, 297 – Centro Político Administrativo","MTGÁS Companhia Mato-grossense de Gás – R. Eng. Endereço: Rua Edgar Prado Arze, 297 – Centro Político Administrativo","17-04-38"
"84","portal","Prefeitura/Órgão Municipal","https://portal.mt.gov.br/","https://portal.mt.gov.br/","URL exata","Concluída","10","Sim","Não","Avaliado","","Não","Não","","9-10","<5","Portal do Governo de Mato Grosso","","17-04-38"
"85","cuiaba","Prefeitura/Órgão Municipal","https://www.cuiaba.mt.gov.br/","https://www.cuiaba.mt.gov.br/","URL exata","Concluída","8","Sim","Não","Avaliado","","Não","Não","","8-<9","<5","Prefeitura de Cuiabá","","17-04-38"
"86","","Outro/Consórcio","https://www.tjmt.jus.br/","https://www.tjmt.jus.br/","URL exata","Concluída","9.9","Sim","Não","Avaliado","8.4","Sim","Não","1.50","9-10","8-<9","Poder Judiciário do Estado de Mato Grosso","Site em manutenção — TJMT","17-04-38"
